X	Y	Species	Type	Dbh	Height	vigorous	sawlog	YearsInfested	Growth	treeclass
174.75	94.4031	Western_Hemlock	Adult	91.2775	29.9089	0	0	5	0.5	4
4.82178	120.02	Subalpine_Fir	Adult	91.2274	28.8591	0	0	0	11.8	4
139.844	10.9436	Trembling_Aspen	Adult	91.1642	28.6279	0	0	4	9.8	4
1.83716	124.689	Black_Cottonwood	Adult	91.1108	29.5252	1	1	1	14.3	1
54.2542	64.5691	Trembling_Aspen	Adult	91.0968	28.6248	1	1	0	3.4	1
180.804	20.5444	Western_Redcedar	Adult	90.9647	29.9012	0	1	2	13.6	3
139.044	19.6411	Trembling_Aspen	Adult	90.9143	28.6164	0	0	3	11.1	4
132.3	194.159	Subalpine_Fir	Adult	90.7178	28.8384	0	0	0	3.3	4
183.801	71.3684	Hybrid_Spruce	Adult	90.6638	26.845	0	0	0	1.8	4
54.9866	173.016	Amabilis_Fir	Adult	90.4865	29.9042	0	1	0	2.6	3
190.338	98.6755	Lodgepole_Pine	Adult	90.4568	29.8192	0	1	0	11.2	3
50.0061	25.592	Trembling_Aspen	Adult	90.4434	28.5945	0	1	2	5.4	3
130.975	119.8	Lodgepole_Pine	Adult	90.4337	29.819	0	0	3	0	4
46.6614	61.1267	Trembling_Aspen	Adult	90.2371	28.5848	1	1	5	0.2	1
92.0837	5.18799	Western_Hemlock	Adult	90.2252	29.9026	0	1	4	10.3	3
182.727	120.795	Amabilis_Fir	Adult	90.1965	29.9024	0	1	0	2.7	3
177.356	76.5503	Hybrid_Spruce	Adult	90.1468	26.805	0	1	4	8.8	3
169.208	32.1838	Western_Redcedar	Adult	90.0916	29.8957	1	1	2	2.6	1
186.31	157.55	Paper_Birch	Adult	90.0214	29.3467	0	0	4	9.3	4
35.8704	115.137	Subalpine_Fir	Adult	89.9911	28.8082	0	1	0	4.1	3
195.477	108.527	Paper_Birch	Adult	89.9194	29.3439	0	1	0	9.1	3
118.506	150.482	Paper_Birch	Adult	89.884	29.3429	0	0	4	5.1	4
123.901	179.602	Western_Hemlock	Adult	89.8761	29.9004	1	1	2	1.7	1
11.2488	29.4983	Black_Cottonwood	Adult	89.8361	29.4972	0	0	0	11.4	4
13.9832	81.7261	Lodgepole_Pine	Adult	89.7568	29.812	0	1	4	2.5	3
60.2112	169.91	Amabilis_Fir	Adult	89.7482	29.8996	0	1	0	0	3
154.205	41.3818	Lodgepole_Pine	Adult	89.675	29.8111	1	1	0	3.9	1
177.948	28.5034	Lodgepole_Pine	Adult	89.4879	29.8091	0	0	5	2.3	4
134.058	9.44214	Black_Cottonwood	Adult	89.4391	29.4881	0	0	5	10.5	4
69.3848	29.4861	Western_Redcedar	Adult	89.3964	29.8911	1	0	2	9.1	2
50.8118	121.942	Black_Cottonwood	Adult	89.3826	29.4868	1	1	5	2.9	1
124.768	153.552	Hybrid_Spruce	Adult	89.2224	26.7323	1	1	3	3.2	1
61.8469	106.94	Western_Redcedar	Adult	89.1983	29.8897	1	1	1	9.8	1
95.4224	125.244	Black_Cottonwood	Adult	89.1541	29.4815	0	0	4	8.2	4
163.562	17.1753	Lodgepole_Pine	Adult	89.151	29.8055	1	0	5	3.2	2
17.7307	92.4377	Amabilis_Fir	Adult	88.9456	29.8944	0	1	0	14.8	3
27.5696	84.9854	Paper_Birch	Adult	88.9453	29.3165	1	0	4	7	2
133.624	95.6665	Hybrid_Spruce	Adult	88.9252	26.7086	0	0	2	3.1	4
100.006	173.853	Paper_Birch	Adult	88.8937	29.315	0	1	3	0.4	3
180.267	45.2698	Black_Cottonwood	Adult	88.8773	29.475	0	0	2	1.3	4
60.6018	56.8909	Black_Cottonwood	Adult	88.7622	29.4723	1	1	3	3.5	1
14.74	69.5496	Lodgepole_Pine	Adult	88.5971	29.7994	1	0	0	2.3	2
135.809	89.2761	Western_Hemlock	Adult	88.5767	29.892	0	0	5	9.7	4
195.819	132.794	Amabilis_Fir	Adult	88.3716	29.8905	1	0	0	7.2	2
43.9819	162.878	Western_Hemlock	Adult	88.3466	29.8904	1	1	4	2.5	1
74.6582	82.4768	Western_Hemlock	Adult	88.3347	29.8903	1	0	3	4.6	2
37.9211	108.337	Black_Cottonwood	Adult	88.2846	29.4608	1	1	1	9.1	1
79.1382	159.265	Black_Cottonwood	Adult	88.1915	29.4585	1	0	1	6.6	2
193.341	115.686	Western_Redcedar	Adult	88.1577	29.8823	0	0	1	2.8	4
67.3767	21.1365	Western_Redcedar	Adult	88.1223	29.8821	1	0	1	5.7	2
54.8523	163.965	Western_Redcedar	Adult	87.8979	29.8804	1	1	1	5.4	1
159.344	94.5984	Trembling_Aspen	Adult	87.8442	28.4673	1	1	0	9.3	1
198.895	174.249	Western_Hemlock	Adult	87.7603	29.8862	0	1	0	5.2	3
111.249	9.65576	Black_Cottonwood	Adult	87.7063	29.4466	0	1	3	0.5	3
55.3894	98.1201	Black_Cottonwood	Adult	87.6941	29.4463	1	1	5	2.9	1
3.42407	9.06982	Paper_Birch	Adult	87.6663	29.2788	1	1	5	15	1
89.6545	28.6316	Amabilis_Fir	Adult	87.6587	29.8855	0	0	0	1	4
63.2935	192.749	Subalpine_Fir	Adult	87.561	28.7013	0	0	0	0	4
111.963	0.744629	Amabilis_Fir	Adult	87.4756	29.8842	0	1	0	5.1	3
118.396	71.5576	Subalpine_Fir	Adult	87.4387	28.6957	0	1	0	10	3
173.602	50.946	Paper_Birch	Adult	87.3563	29.2693	0	1	5	11.8	3
106.873	186.755	Hybrid_Spruce	Adult	87.2842	26.5745	0	1	1	4.6	3
63.6963	67.6331	Subalpine_Fir	Adult	87.2345	28.6863	0	0	0	4.3	4
61.7432	187.048	Amabilis_Fir	Adult	87.233	29.8824	0	1	0	5.1	3
52.7588	174.06	Western_Redcedar	Adult	87.153	29.8747	1	0	3	5.4	2
197.308	82.6538	Amabilis_Fir	Adult	87.0148	29.8808	0	1	0	10.8	3
21.3806	44.5496	Black_Cottonwood	Adult	86.9843	29.4283	1	0	5	2.9	2
190.149	142.554	Black_Cottonwood	Adult	86.8805	29.4256	0	0	2	3.1	4
166.107	188.129	Amabilis_Fir	Adult	86.8234	29.8793	1	1	0	1.2	1
89.9353	1.63574	Trembling_Aspen	Adult	86.7889	28.4125	1	0	2	5.9	2
85.6384	78.4729	Paper_Birch	Adult	86.7651	29.251	1	0	3	7.8	2
45.8984	118.671	Lodgepole_Pine	Adult	86.7035	29.7769	1	0	0	3	2
15.5212	134.308	Black_Cottonwood	Adult	86.662	29.4199	1	1	4	2.4	1
86.145	172.357	Western_Hemlock	Adult	86.568	29.8774	1	0	5	10.8	2
36.3586	101.831	Amabilis_Fir	Adult	86.4801	29.8767	0	1	0	8.5	3
117.029	38.4766	Western_Hemlock	Adult	86.4185	29.8762	0	0	2	7.8	4
186.963	97.699	Hybrid_Spruce	Adult	86.3974	26.4998	0	0	0	2.6	4
75.7385	42.2424	Lodgepole_Pine	Adult	86.3916	29.773	1	0	5	10.8	2
172.351	30.7617	Amabilis_Fir	Adult	86.2024	29.8745	0	0	0	11.7	4
32.0557	51.9958	Western_Redcedar	Adult	86.1874	29.867	1	1	2	7.9	1
111.713	53.0701	Trembling_Aspen	Adult	86.1853	28.3802	0	1	5	2.5	3
135.675	99.6155	Western_Hemlock	Adult	86.1768	29.8743	1	1	5	7.9	1
141.351	122.467	Paper_Birch	Adult	86.1481	29.2313	0	1	1	4.9	3
108.85	45.9473	Trembling_Aspen	Adult	86.077	28.3743	0	1	1	2	3
20.3186	53.186	Trembling_Aspen	Adult	86.0608	28.3735	1	0	3	2.6	2
138.153	59.1736	Amabilis_Fir	Adult	86.0272	29.8731	0	0	0	3.8	4
3.61938	94.5862	Trembling_Aspen	Adult	86.0223	28.3714	0	1	4	10.2	3
78.5034	172.992	Amabilis_Fir	Adult	86.0126	29.873	0	0	0	10.8	4
21.814	114.398	Western_Redcedar	Adult	85.8621	29.8642	1	0	5	5.7	2
127.277	180.524	Hybrid_Spruce	Adult	85.7211	26.4417	0	0	2	4.6	4
104.901	109.247	Subalpine_Fir	Adult	85.61	28.6087	0	1	0	7.4	3
19.0918	120.197	Trembling_Aspen	Adult	85.6091	28.3488	1	0	2	0.6	2
55.7251	37.4695	Western_Redcedar	Adult	85.6052	29.8621	1	1	5	7.7	1
172.528	121.802	Western_Redcedar	Adult	85.5997	29.862	0	0	1	14.2	4
22.6257	142.468	Western_Hemlock	Adult	85.5286	29.8691	0	1	4	0	3
154.962	73.4985	Subalpine_Fir	Adult	85.5139	28.6039	0	1	0	9.5	3
113.788	90.4968	Subalpine_Fir	Adult	85.3644	28.5965	0	1	0	5.5	3
82.1899	100.22	Trembling_Aspen	Adult	85.2982	28.3316	1	0	3	11.6	2
127.393	71.2341	Paper_Birch	Adult	85.275	29.2026	1	1	0	8.1	1
101.013	165.723	Black_Cottonwood	Adult	84.9774	29.3743	0	1	2	4	3
69.3848	106.921	Black_Cottonwood	Adult	84.9411	29.3732	1	0	1	9.4	2
137.079	199.689	Black_Cottonwood	Adult	84.9057	29.3722	1	1	0	11.5	1
59.9854	166.01	Western_Hemlock	Adult	84.8898	29.8637	1	1	2	5.7	1
112.299	46.7957	Paper_Birch	Adult	84.6988	29.1831	0	1	1	4.7	3
152.893	26.2878	Hybrid_Spruce	Adult	84.4986	26.3343	1	0	0	7.9	2
151.031	123.383	Hybrid_Spruce	Adult	84.491	26.3336	1	1	4	0.9	1
41.095	153.882	Hybrid_Spruce	Adult	84.4791	26.3326	1	1	0	0.2	1
134.778	166.858	Trembling_Aspen	Adult	84.3524	28.2781	0	0	2	1.4	4
76.5259	24.2798	Lodgepole_Pine	Adult	84.267	29.7443	0	0	2	4.2	4
101.636	146.387	Western_Hemlock	Adult	84.155	29.8572	0	1	0	6.9	3
131.83	181.116	Trembling_Aspen	Adult	84.0259	28.2593	0	0	3	6.3	4
110.925	172.809	Paper_Birch	Adult	83.9792	29.158	0	1	3	11.6	3
172.04	35.7422	Amabilis_Fir	Adult	83.8965	29.8549	0	1	0	10.7	3
50.7263	127.826	Western_Hemlock	Adult	83.804	29.8541	1	1	3	1.9	1
107.245	60.5713	Lodgepole_Pine	Adult	83.793	29.7374	0	1	5	3.7	3
76.8433	147.992	Trembling_Aspen	Adult	83.7686	28.2443	1	0	2	4.2	2
129.028	109.155	Amabilis_Fir	Adult	83.7466	29.8535	0	0	0	11.9	4
142.212	46.0266	Lodgepole_Pine	Adult	83.5941	29.7345	0	1	1	4.7	3
168.182	181	Western_Redcedar	Adult	83.5001	29.8427	1	1	0	1	1
155.17	104.962	Amabilis_Fir	Adult	83.4784	29.851	0	0	0	9.9	4
60.7971	49.3469	Western_Redcedar	Adult	83.4311	29.842	1	1	0	7.4	1
159.906	94.1833	Paper_Birch	Adult	83.3768	29.1364	1	0	3	1.3	2
33.4961	91.2659	Lodgepole_Pine	Adult	83.3459	29.7308	1	1	5	1.5	1
14.8376	51.593	Paper_Birch	Adult	83.3383	29.135	0	1	3	4.2	3
166.052	114.868	Hybrid_Spruce	Adult	83.3246	26.2281	1	0	5	8.1	2
0.616455	32.3242	Hybrid_Spruce	Adult	83.2599	26.2221	0	1	3	3.9	3
39.3066	143.207	Black_Cottonwood	Adult	83.2541	29.3238	0	1	3	1.9	3
120.85	187.524	Western_Redcedar	Adult	83.2361	29.8401	0	0	2	20.1	4
136.914	123.224	Hybrid_Spruce	Adult	83.1815	26.2149	0	0	3	5.7	4
166.888	35.3149	Subalpine_Fir	Adult	83.1177	28.4806	0	0	0	10.9	4
71.3989	1.0376	Lodgepole_Pine	Adult	83.0286	29.726	1	0	1	0.4	2
83.5144	38.0371	Lodgepole_Pine	Adult	83.0032	29.7256	1	0	5	7.5	2
45.6909	28.064	Black_Cottonwood	Adult	82.8751	29.3122	0	1	0	5.7	3
192.169	17.4316	Lodgepole_Pine	Adult	82.8525	29.7232	0	1	1	0.7	3
16.4734	92.1997	Lodgepole_Pine	Adult	82.793	29.7223	0	1	0	13.9	3
178.333	173.926	Subalpine_Fir	Adult	82.7478	28.4606	0	0	0	9.3	4
132.843	56.5002	Hybrid_Spruce	Adult	82.7173	26.1719	0	0	4	2.8	4
165.259	156.799	Amabilis_Fir	Adult	82.699	29.8435	1	0	0	3.2	2
38.9587	101.501	Hybrid_Spruce	Adult	82.6611	26.1667	1	1	4	10.5	1
99.7375	33.2703	Subalpine_Fir	Adult	82.5494	28.4498	0	0	0	6	4
61.0229	127.991	Western_Redcedar	Adult	82.5244	29.8329	1	1	3	8.5	1
169.391	0.634766	Hybrid_Spruce	Adult	82.4969	26.1513	1	1	4	6.9	1
56.4148	190.533	Western_Redcedar	Adult	82.4014	29.8316	1	1	2	5.6	1
61.5967	179.272	Lodgepole_Pine	Adult	82.3923	29.716	1	1	4	3.1	1
49.9573	108.954	Paper_Birch	Adult	82.2717	29.0954	1	1	2	3.8	1
132.928	54.0588	Western_Hemlock	Adult	82.2635	29.8392	0	0	3	2.4	4
146.838	54.0588	Lodgepole_Pine	Adult	82.258	29.7139	1	0	2	10.2	2
5.52368	61.0229	Amabilis_Fir	Adult	82.2104	29.8386	0	0	0	1.2	4
0.561523	113.623	Subalpine_Fir	Adult	82.157	28.4281	0	0	0	7	4
152.393	21.6614	Subalpine_Fir	Adult	82.1448	28.4274	0	1	0	3.9	3
8.6731	47.3328	Subalpine_Fir	Adult	82.1268	28.4264	0	0	0	12.4	4
164.771	17.7979	Hybrid_Spruce	Adult	82.1024	26.1142	1	0	4	3.5	2
182.916	135.376	Western_Redcedar	Adult	82.1014	29.8284	0	1	1	11.7	3
